month,scenario,lot,date,balance_usd,peak_usd,drawdown_usd,drawdown_pct,daily_pnl_usd
2020-09,guardrails_completos,0.6,2020-09-24,103475.08,103475.08,0.0,0.0,302.18
2020-09,guardrails_completos,0.6,2020-09-25,103622.13,103622.13,0.0,0.0,147.05
2020-09,guardrails_completos,0.6,2020-09-29,103881.9,103881.9,0.0,0.0,259.77
2020-09,guardrails_completos,0.6,2020-09-30,103984.9,103984.9,0.0,0.0,103.0
2020-09,guardrails_completos,1.0,2020-09-01,99963.86,100000.0,36.14,0.000361,-36.14
2020-09,guardrails_completos,1.0,2020-09-02,100714.01,100714.01,0.0,0.0,750.15
2020-09,guardrails_completos,1.0,2020-09-03,101751.3,101751.3,0.0,0.0,1037.29
2020-09,guardrails_completos,1.0,2020-09-04,101620.93,101751.3,130.38,0.001304,-130.38
2020-09,guardrails_completos,1.0,2020-09-08,101659.86,101751.3,91.44,0.000914,38.93
2020-09,guardrails_completos,1.0,2020-09-09,102204.6,102204.6,0.0,0.0,544.74
2020-09,guardrails_completos,1.0,2020-09-10,102871.8,102871.8,0.0,0.0,667.2
2020-09,guardrails_completos,1.0,2020-09-11,103530.91,103530.91,0.0,0.0,659.11
2020-09,guardrails_completos,1.0,2020-09-15,103704.98,103704.98,0.0,0.0,174.07
2020-09,guardrails_completos,1.0,2020-09-16,103822.52,103822.52,0.0,0.0,117.54
2020-09,guardrails_completos,1.0,2020-09-17,104586.26,104586.26,0.0,0.0,763.74
2020-09,guardrails_completos,1.0,2020-09-18,104538.15,104586.26,48.12,0.000481,-48.12
2020-09,guardrails_completos,1.0,2020-09-22,104789.36,104789.36,0.0,0.0,251.21
2020-09,guardrails_completos,1.0,2020-09-23,105288.16,105288.16,0.0,0.0,498.8
2020-09,guardrails_completos,1.0,2020-09-24,105791.8,105791.8,0.0,0.0,503.64
2020-09,guardrails_completos,1.0,2020-09-25,106036.88,106036.88,0.0,0.0,245.09
2020-09,guardrails_completos,1.0,2020-09-29,106469.84,106469.84,0.0,0.0,432.95
2020-09,guardrails_completos,1.0,2020-09-30,106641.51,106641.51,0.0,0.0,171.67
2021-08,baseline,0.6,2021-08-03,99919.41,100000.0,80.59,0.000806,-80.59
2021-08,baseline,0.6,2021-08-04,100232.0,100232.0,0.0,0.0,312.59
2021-08,baseline,0.6,2021-08-05,100364.2,100364.2,0.0,0.0,132.2
2021-08,baseline,0.6,2021-08-06,100735.86,100735.86,0.0,0.0,371.66
2021-08,baseline,0.6,2021-08-11,100836.47,100836.47,0.0,0.0,100.61
2021-08,baseline,0.6,2021-08-13,101191.41,101191.41,0.0,0.0,354.94
2021-08,baseline,0.6,2021-08-17,101268.24,101268.24,0.0,0.0,76.83
