feature,importance
categorical__regime_inactive|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_mid_high,1.89418e-05
categorical__regime_london|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_mid_low,1.70473e-05
categorical__regime_overlap|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_mid_low,1.69685e-05
categorical__regime_asia|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_low,1.60112e-05
categorical__regime_asia|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_mid_high,1.45879e-05
categorical__regime_overlap|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_mid_high,1.41463e-05
categorical__regime_new_york|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_mid_high,1.3883e-05
categorical__regime_new_york|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_high,1.34417e-05
categorical__regime_london|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_mid_low,1.32805e-05
categorical__regime_overlap|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_mid_low,1.29613e-05
categorical__regime_new_york|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_mid_high,1.12208e-05
categorical__regime_london|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_low,1.09217e-05
categorical__regime_new_york|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_mid_high,1.09039e-05
categorical__regime_asia|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_mid_high,1.00572e-05
categorical__regime_inactive|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_high,8.565e-06
categorical__regime_asia|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_high,8.3168e-06
categorical__regime_inactive|h4_bearish|d1_range|align_neutral|atr_low|d1pos_low,7.6201e-06
categorical__regime_new_york|h4_range|d1_range|align_neutral|atr_low|d1pos_mid_high,6.7753e-06
categorical__regime_asia|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_high,6.6515e-06
categorical__regime_new_york|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_high,6.4675e-06
categorical__regime_overlap|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_high,5.7065e-06
categorical__regime_inactive|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_mid_high,4.7185e-06
categorical__regime_london|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_mid_low,4.3496e-06
categorical__regime_inactive|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_low,4.3203e-06
categorical__regime_asia|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_mid_low,4.2063e-06
categorical__regime_london|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_mid_low,4.088e-06
categorical__regime_london|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_high,4.0466e-06
categorical__regime_overlap|h4_range|d1_range|align_neutral|atr_low|d1pos_mid_low,3.5496e-06
categorical__regime_asia|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_mid_high,2.6492e-06
categorical__regime_overlap|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_mid_high,2.1595e-06
categorical__regime_asia|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_low,2.1199e-06
categorical__regime_overlap|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_mid_low,1.8869e-06
categorical__regime_new_york|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_mid_low,1.8525e-06
categorical__regime_overlap|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_high,1.0165e-06
categorical__weekday_inactive,0.0
categorical__regime_asia|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_high,0.0
categorical__regime_asia|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_mid_high,0.0
categorical__regime_asia|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_mid_low,0.0
categorical__regime_asia|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_mid_low,0.0
categorical__regime_asia|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_high,0.0
categorical__regime_asia|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_low,0.0
categorical__regime_asia|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_mid_high,0.0
categorical__regime_asia|h4_bearish|d1_range|align_neutral|atr_low|d1pos_low,0.0
categorical__regime_asia|h4_bearish|d1_range|align_neutral|atr_low|d1pos_mid_low,0.0
categorical__regime_asia|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_low,0.0
categorical__regime_asia|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_mid_high,0.0
categorical__regime_asia|h4_bullish|d1_bearish|align_neutral|atr_low|d1pos_low,0.0
